course_code,course_title,department,section,times,location,instructor,credits,enrollment,description,url
AFAS 4080,Black Feminist Imaginaries: Practices and Poethics. .,AFAS,008/17398,M 12:10pm - 2:00pm,212d Lewisohn Hall,Veronique Charles,4.00,3/15,"This seminar will focus on theories, practices, and literature of Black thought and Black feminist imaginaries. We will read some of the significant Black feminist scholarship and literature that have emerged over the past three centuries with particular attention to Black feminist theorizing of the intersections of race and gender. The bulk of our reading will concentrate on 20th and 21st century texts with particular attention to the ways that Black feminists (even those retroactively so-named) have long insisted on the material, social, and spiritual significance of Black lives, Black life, and Black thought. In this course, we will read across genre and field to consider the myriad discourses in which Black feminist theorizing has intervened. The list of writers, artists, and thinkers whose work will guide our interrogations include Phillis Wheatley, Rebecca Cox Jackson, Zora Neale Hurston, Fanny Lou Hamer, Johnetta B. Cole, Audre Lorde, Angela Davis, Hortense Spillers, June Jordan, Toni Cade Bambara, Toni Morrison, Lucille Clifton, Susan Lori Parks, Saidiya Hartman, Adrienne Piper, Daphne Brooks, and Carrie Mae Weems, among others. Central to the course investigations is Carolyn Martin Shaw’s description in “Disciplining the Black Female Body: Learning Feminism in Africa and the United States”: “The individual, the social agent or actor, is a product of culture and produces culture. An individual's subjectivity is determined by that which he or she is subject to (such as laws, language, and stories) and that which he or she is subject of (such as personal decisions, actions, and stories). What holds together fragmentary cultures and part societies? I find the term discourse useful for thinking about linkages and articulations within and across “part societies.”” And across fields. Black feminist imaginaries offer discourses which intervene in dominating narrative, language, image, and knowledge structures. Multiple areas of knowledge and knowledge production must be brought to bear. We will read and think through how Black feminist imaginaries may reframe our understandings of the individual, the state, and the state of things",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AFAS 4080,Black Feminist Imaginaries: Practices and Poethics. .,AFAS,009/18923,T 4:10pm - 6:00pm,507 Lewisohn Hall,Samiya Bashir,4.00,7/12,"This seminar will focus on theories, practices, and literature of Black thought and Black feminist imaginaries. We will read some of the significant Black feminist scholarship and literature that have emerged over the past three centuries with particular attention to Black feminist theorizing of the intersections of race and gender. The bulk of our reading will concentrate on 20th and 21st century texts with particular attention to the ways that Black feminists (even those retroactively so-named) have long insisted on the material, social, and spiritual significance of Black lives, Black life, and Black thought. In this course, we will read across genre and field to consider the myriad discourses in which Black feminist theorizing has intervened. The list of writers, artists, and thinkers whose work will guide our interrogations include Phillis Wheatley, Rebecca Cox Jackson, Zora Neale Hurston, Fanny Lou Hamer, Johnetta B. Cole, Audre Lorde, Angela Davis, Hortense Spillers, June Jordan, Toni Cade Bambara, Toni Morrison, Lucille Clifton, Susan Lori Parks, Saidiya Hartman, Adrienne Piper, Daphne Brooks, and Carrie Mae Weems, among others. Central to the course investigations is Carolyn Martin Shaw’s description in “Disciplining the Black Female Body: Learning Feminism in Africa and the United States”: “The individual, the social agent or actor, is a product of culture and produces culture. An individual's subjectivity is determined by that which he or she is subject to (such as laws, language, and stories) and that which he or she is subject of (such as personal decisions, actions, and stories). What holds together fragmentary cultures and part societies? I find the term discourse useful for thinking about linkages and articulations within and across “part societies.”” And across fields. Black feminist imaginaries offer discourses which intervene in dominating narrative, language, image, and knowledge structures. Multiple areas of knowledge and knowledge production must be brought to bear. We will read and think through how Black feminist imaginaries may reframe our understandings of the individual, the state, and the state of things",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AFAS 4080,Black Feminist Imaginaries: Practices and Poethics. .,AFAS,001/11903,T 12:10pm - 2:00pm,Room TBA,Rachel Grace Newman,4.00,6/12,"This seminar will focus on theories, practices, and literature of Black thought and Black feminist imaginaries. We will read some of the significant Black feminist scholarship and literature that have emerged over the past three centuries with particular attention to Black feminist theorizing of the intersections of race and gender. The bulk of our reading will concentrate on 20th and 21st century texts with particular attention to the ways that Black feminists (even those retroactively so-named) have long insisted on the material, social, and spiritual significance of Black lives, Black life, and Black thought. In this course, we will read across genre and field to consider the myriad discourses in which Black feminist theorizing has intervened. The list of writers, artists, and thinkers whose work will guide our interrogations include Phillis Wheatley, Rebecca Cox Jackson, Zora Neale Hurston, Fanny Lou Hamer, Johnetta B. Cole, Audre Lorde, Angela Davis, Hortense Spillers, June Jordan, Toni Cade Bambara, Toni Morrison, Lucille Clifton, Susan Lori Parks, Saidiya Hartman, Adrienne Piper, Daphne Brooks, and Carrie Mae Weems, among others. Central to the course investigations is Carolyn Martin Shaw’s description in “Disciplining the Black Female Body: Learning Feminism in Africa and the United States”: “The individual, the social agent or actor, is a product of culture and produces culture. An individual's subjectivity is determined by that which he or she is subject to (such as laws, language, and stories) and that which he or she is subject of (such as personal decisions, actions, and stories). What holds together fragmentary cultures and part societies? I find the term discourse useful for thinking about linkages and articulations within and across “part societies.”” And across fields. Black feminist imaginaries offer discourses which intervene in dominating narrative, language, image, and knowledge structures. Multiple areas of knowledge and knowledge production must be brought to bear. We will read and think through how Black feminist imaginaries may reframe our understandings of the individual, the state, and the state of things",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AFAS 4080,Black Feminist Imaginaries: Practices and Poethics. .,AFAS,002/11356,T 12:10pm - 2:00pm,758 Ext Schermerhorn Hall,Jafari Allen,4.00,9/12,"This seminar will focus on theories, practices, and literature of Black thought and Black feminist imaginaries. We will read some of the significant Black feminist scholarship and literature that have emerged over the past three centuries with particular attention to Black feminist theorizing of the intersections of race and gender. The bulk of our reading will concentrate on 20th and 21st century texts with particular attention to the ways that Black feminists (even those retroactively so-named) have long insisted on the material, social, and spiritual significance of Black lives, Black life, and Black thought. In this course, we will read across genre and field to consider the myriad discourses in which Black feminist theorizing has intervened. The list of writers, artists, and thinkers whose work will guide our interrogations include Phillis Wheatley, Rebecca Cox Jackson, Zora Neale Hurston, Fanny Lou Hamer, Johnetta B. Cole, Audre Lorde, Angela Davis, Hortense Spillers, June Jordan, Toni Cade Bambara, Toni Morrison, Lucille Clifton, Susan Lori Parks, Saidiya Hartman, Adrienne Piper, Daphne Brooks, and Carrie Mae Weems, among others. Central to the course investigations is Carolyn Martin Shaw’s description in “Disciplining the Black Female Body: Learning Feminism in Africa and the United States”: “The individual, the social agent or actor, is a product of culture and produces culture. An individual's subjectivity is determined by that which he or she is subject to (such as laws, language, and stories) and that which he or she is subject of (such as personal decisions, actions, and stories). What holds together fragmentary cultures and part societies? I find the term discourse useful for thinking about linkages and articulations within and across “part societies.”” And across fields. Black feminist imaginaries offer discourses which intervene in dominating narrative, language, image, and knowledge structures. Multiple areas of knowledge and knowledge production must be brought to bear. We will read and think through how Black feminist imaginaries may reframe our understandings of the individual, the state, and the state of things",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AFAS 4080,Black Feminist Imaginaries: Practices and Poethics. .,AFAS,003/15607,M 12:10pm - 2:00pm,758 Ext Schermerhorn Hall,Veronique Charles,4.00,2/12,"This seminar will focus on theories, practices, and literature of Black thought and Black feminist imaginaries. We will read some of the significant Black feminist scholarship and literature that have emerged over the past three centuries with particular attention to Black feminist theorizing of the intersections of race and gender. The bulk of our reading will concentrate on 20th and 21st century texts with particular attention to the ways that Black feminists (even those retroactively so-named) have long insisted on the material, social, and spiritual significance of Black lives, Black life, and Black thought. In this course, we will read across genre and field to consider the myriad discourses in which Black feminist theorizing has intervened. The list of writers, artists, and thinkers whose work will guide our interrogations include Phillis Wheatley, Rebecca Cox Jackson, Zora Neale Hurston, Fanny Lou Hamer, Johnetta B. Cole, Audre Lorde, Angela Davis, Hortense Spillers, June Jordan, Toni Cade Bambara, Toni Morrison, Lucille Clifton, Susan Lori Parks, Saidiya Hartman, Adrienne Piper, Daphne Brooks, and Carrie Mae Weems, among others. Central to the course investigations is Carolyn Martin Shaw’s description in “Disciplining the Black Female Body: Learning Feminism in Africa and the United States”: “The individual, the social agent or actor, is a product of culture and produces culture. An individual's subjectivity is determined by that which he or she is subject to (such as laws, language, and stories) and that which he or she is subject of (such as personal decisions, actions, and stories). What holds together fragmentary cultures and part societies? I find the term discourse useful for thinking about linkages and articulations within and across “part societies.”” And across fields. Black feminist imaginaries offer discourses which intervene in dominating narrative, language, image, and knowledge structures. Multiple areas of knowledge and knowledge production must be brought to bear. We will read and think through how Black feminist imaginaries may reframe our understandings of the individual, the state, and the state of things",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AFAS 3001,SING A BLACK GIRL'S SONG: THE NON FICTION WRITING OF NTOZAKE SHANGE. .,AFAS,001/10689,Th 2:10pm - 4:00pm,608 Lewisohn Hall,Edwidge Danticat,4.00,9/15,"This undergraduate seminar offers an in-depth exploration of the nonfiction work of the renowned African-American poet and playwright Ntozake Shange, whose archives are at Barnard College, her alma mater. Through readings, discussion, and visits to her archives, students will probe this lesser-examined aspect of Shange's oeuvre, including her essays on her life, the arts, food, and other artists and creators. This course invites participants to engage critically with Shange's essays and personal writings while delving into her archive. Students will identify key themes and literary techniques in Shange's nonfiction and the historical and cultural context in which she wrote these works. We will examine how Shange's nonfiction contributes to her broader work and her perspectives on history, gender, feminism, and race as they intersect in her life as a Black woman artist. Students will develop critical thinking skills through close reading, analysis, and discussion of Shange's nonfiction and will improve their writing skills by composing reflections and essays on Shange's works. They will develop research skills and gain insights into Shange's creative process through firsthand engagement with Shange's archive at Barnard",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AMST 3930,Topics in American Studies. .,AMST,001/12262,T 2:10pm - 4:00pm,Room TBA,Hilary-Anne Hallett,4,9/18,,https://bulletin.columbia.edu/columbia-college/departments-instruction/american-studies/
AMST 3930,Topics in American Studies. .,AMST,002/12273,W 12:10pm - 2:00pm,Room TBA,John McWhorter,4,0/18,,https://bulletin.columbia.edu/columbia-college/departments-instruction/american-studies/
AMST 3930,Topics in American Studies. .,AMST,003/12341,T 10:10am - 12:00pm,Room TBA,James Stephen Shapiro,4,13/18,,https://bulletin.columbia.edu/columbia-college/departments-instruction/american-studies/
AMST 3930,Topics in American Studies. .,AMST,004/12342,M 6:10pm - 8:00pm,Room TBA,Benjamin Rosenberg,4,0/18,,https://bulletin.columbia.edu/columbia-college/departments-instruction/american-studies/
AMST 3930,Topics in American Studies. .,AMST,005/12347,Th 10:10am - 12:00pm,Room TBA,Mark Lilla,4,7/18,,https://bulletin.columbia.edu/columbia-college/departments-instruction/american-studies/
AMST 3931,Topics in American Studies. .,AMST,001/14443,W 10:10am - 12:00pm,317 Hamilton Hall,Roosevelt Montas,4,13/18,,https://bulletin.columbia.edu/columbia-college/departments-instruction/american-studies/
AMST 3931,Topics in American Studies. .,AMST,002/14445,T 2:10pm - 4:00pm,317 Hamilton Hall,"Andrew Delbanco, Roger Lehecka",4,12/18,,https://bulletin.columbia.edu/columbia-college/departments-instruction/american-studies/
AMST 3931,Topics in American Studies. .,AMST,003/14446,W 12:10pm - 2:00pm,317 Hamilton Hall,Lynne Breslin,4,15/18,,https://bulletin.columbia.edu/columbia-college/departments-instruction/american-studies/
AMST 3931,Topics in American Studies. .,AMST,004/14447,W 4:10pm - 6:00pm,317 Hamilton Hall,Valerie Paley,4,12/15,,https://bulletin.columbia.edu/columbia-college/departments-instruction/american-studies/
AMST 3931,Topics in American Studies. .,AMST,005/17213,Th 4:10pm - 6:00pm,317 Hamilton Hall,Cathleen Price,4,10/18,,https://bulletin.columbia.edu/columbia-college/departments-instruction/american-studies/
ANTH 1002,THE INTERPRETATION OF CULTURE. .,ANTH,001/10586,M W 10:10am - 11:25am,309 Havemeyer Hall,Naor Ben-Yehoyada,3.00,49/120,"The anthropological approach to the study of culture and human society. Case studies from ethnography are used in exploring the universality of cultural categories (social organization, economy, law, belief system, art, etc.) and the range of variation among human societies",https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
ANTH 1002,THE INTERPRETATION OF CULTURE. .,ANTH,001/00933,M W 8:40am - 9:55am,263 Macy Hall,Clare Casey,3.00,14/40,"The anthropological approach to the study of culture and human society. Case studies from ethnography are used in exploring the universality of cultural categories (social organization, economy, law, belief system, art, etc.) and the range of variation among human societies",https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
ANTH 1002,THE INTERPRETATION OF CULTURE. .,ANTH,002/00932,M W 10:10am - 11:25am,504 Diana Center,Clare Casey,3.00,24/40,"The anthropological approach to the study of culture and human society. Case studies from ethnography are used in exploring the universality of cultural categories (social organization, economy, law, belief system, art, etc.) and the range of variation among human societies",https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
ANTH 1007,THE ORIGINS OF HUMAN SOCIETY. .,ANTH,001/00110,T Th 11:40am - 12:55pm,Ll003 Barnard Hall,Camilla Sturm,3.00,38/75,"An archaeological perspective on the evolution of human social life from the first bipedal step of our ape ancestors to the establishment of large sedentary villages. While traversing six million years and six continents, our explorations will lead us to consider such major issues as the development of human sexuality, the origin of language, the birth of “art” and religion, the domestication of plants and animals, and the foundations of social inequality. Designed for anyone who happens to be human",https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
ANTH 2004,INTRO TO SOC ＆ CULTURAL THEORY. .,ANTH,001/10058,M W 11:40am - 12:55pm,Room TBA,John Pemberton,3.00,48/60,"This course presents students with crucial theories of society, paying particular attention at the outset to classic social theory of the early 20th century. It traces a trajectory of writings essential for an understanding of the social: from Saussure, Durkheim, Mauss, Weber, and Marx, on to the structuralist ethnographic elaboration of Claude Levi-Strauss and the historiographic reflections on modernity of Michel Foucault. We revisit periodically, reflections by Franz Boas, founder of anthropology in the United States (and of Anthropology at Columbia), for a sense of origins, an early anthropological critique of racism and cultural chauvinism, and a prescient denunciation of fascism. We turn as well, also with ever-renewed interest in these times, to the expansive critical thought of W. E. B. Du Bois. We conclude with Kathleen Stewart’s A Space on the Side of the Road--an ethnography of late-twentieth-century Appalachia and the haunted remains of coal-mining country--with its depictions of an uncanny otherness within dominant American narratives",https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
ANTH 2017,Mafias and Other Dangerous Affiliations. .,ANTH,001/10149,T Th 11:40am - 12:55pm,Room TBA,Naor Ben-Yehoyada,3.00,59/120,"Regimes of various shapes and sizes tend to criminalize associations, organizations, and social relations that these ruling powers see as anathema to the social order on which their power depends: witches, officers of toppled political orders, alleged conspirators (rebels, traitors, terrorists, and dissidents), gangsters and mafiosi, or corrupt officers and magnates. Our main goal will be to understand how and under what conditions do those with the power to do so define, investigate, criminalize and prosecute those kinds of social relations that are cast as enemies of public order. We will also pay close attention to questions of knowledge – legal, investigative, political, journalistic, and public – how doubt, certainty, suspicion and surprise shape the struggle over the relationship between the state and society. The main part of the course is organized around six criminal investigations on mafia-related affairs that took place from the 1950s to the present (two are undergoing appeal these days) in western Sicily. After the introductory section, we will spend two weeks (four meetings) on every one of these cases. We will follow attempts to understand the Mafia and similarly criminalized organizations, and procure evidence about it. We will then expand our inquiry from Sicily to cases from all over the world, to examine questions about social relations, law, the uses of culture, and political imagination. *Although this is a social anthropology course, no previous knowledge of anthropology is required or presumed. Classroom lectures will provide necessary disciplinary background",https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
ANTH 2972,"Unsettling Science: An Introduction to Science, Technology, and Society. .",ANTH,001/17262,T Th 4:10pm - 5:25pm,233 Seeley W. Mudd Building,Madisson Whitman,3.00,35/40,"This course is an introduction to the interplay between science, technology, and society. Unsettling Science invites students to: ask big questions about science and technology, interrupt preconceived ideas about what sicience is and who does it, and engage deeply with troubling social implications. By offering historical and contemporary perspectives, this course equips students with critical and methodological skills essential to exploring not only longstanding questions about the world but also urgent issues of our time. To do so, the course focuses on a series of fundamental and foundational questions (e.g., what is knowledge? what is prog that underpin the study of science, technology, and society from a variety of interdisicplinary perspectives",https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
