course_code,course_title,department,section,times,location,instructor,credits,enrollment,description,url
N/A,ANTH UN3823 ARCH ENGAGE: PAST IN PUB EYE. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"This course provides a panoramic, but intensive, inquiry into the ways that archaeology and its methods for understanding the world have been marshaled for debate in issues of public interest. It is designed to examine claims to knowledge of the past through the lenses of alternative epistemologies and a series of case-based problems that range from the academic to the political, legal, cultural, romantic, and fraudulent",https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
N/A,ANTH GU4175 WRITING ARCHAEOLOGY. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,Prerequisites: the instructor's permission.,https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
N/A,ANTH UN2028 THINK LIKE AN ARCHAEOLOGIST. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"This course provides a comprehensive introduction to methods and theory in archaeology – by exploring how archaeologists work to create narratives about the past (and the present) on the basis on the material remains of the past. The course begins with a consideration of how archaeologists deal with the remains of the past in the present: What are archaeological sites and how do we ‘discover’ them? How do archaeologists ‘read’ or analyze sites and artifacts? From there, we will turn to the question of how archaeologists interpret these materials traces, in order to create narratives about life in the past. After a review of the historical development of theoretical approaches in archaeological interpretation, the course will consider contemporary approaches to interpreting the past",https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
N/A,ANTH GU4346 LAB TECHNIQUES IN ARCHAEOLOGY. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"“Laboratory Methods in Archaeology” is an intensive introduction to the analysis of archaeological artifacts and samples in which we explore how the organic and inorganic remains from archaeological sites can be used to build rigorous claims about the human past. In 2023, this course will focus on pre-contact and post-contact assemblages from the New York-metro area, including materials from the legacy collections of Ralph Solecki. Participants will be introduced to the history, geology, and ecology of the New York area and specialized laboratory modules focus on the analysis of chipped stone artifacts, ceramics, animal bone, glass, and a range of post-contact artifacts. The course only demands participation in the seminars and laboratory modules and successful completion of the written assignments, but all students are encouraged to develop specialized research projects to be subsequently expanded into either (1) a thesis project or (2) a conference presentation at the Society for American Archaeology, Society for Historical Archaeology, or Theoretical Archaeology Group meeting",https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
N/A,ANTH GU4148 HUMAN SKELETAL BIOLOGY II. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Recommended for archaeology and physical anthropology students, pre-meds, and biology majors interested in the human skeletal system. Intensive study of human skeletal materials using anatomical and anthropological landmarks to assess sex, age, and ethnicity of bones. Other primate skeletal materials and fossil casts used for comparative study",https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
N/A,ANTH UN2028 THINK LIKE AN ARCHAEOLOGIST. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"This course provides a comprehensive introduction to methods and theory in archaeology – by exploring how archaeologists work to create narratives about the past (and the present) on the basis on the material remains of the past. The course begins with a consideration of how archaeologists deal with the remains of the past in the present: What are archaeological sites and how do we ‘discover’ them? How do archaeologists ‘read’ or analyze sites and artifacts? From there, we will turn to the question of how archaeologists interpret these materials traces, in order to create narratives about life in the past. After a review of the historical development of theoretical approaches in archaeological interpretation, the course will consider contemporary approaches to interpreting the past",https://bulletin.columbia.edu/columbia-college/departments-instruction/archaeology/
N/A,"ARCH UN3120 CITY,LANDSCAPE, ＆ ECOLOGY. .",N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"City, Landscape, Ecology is a thematically driven course that centers on issues and polemics related to landscape, land settlement and ecology over the past two centuries. The course interrogates our changing attitudes to nature from the 18th century to the present, focusing on the artistic and architectural responses to these perceptions. It aims to demonstrate the important role that artists and architects have played, and are to play, in making visible the sources of environmental degradation and in the development of new means of mitigating anthropogenic ecological change. City, Landscape, Ecology is divided into three parts. Part I explores important episodes in the history of landscape: picturesque garden theory, notions of “wilderness” as epitomized in national and state parks in the United States, Modern and Postmodern garden practices, and the prevalence of landscape in the work of artists from the 1960s to the present. The purpose here is to better understand the role that territorial organization plays in the construction of social practices, human subjectivities, and technologies of power. We then turn to ecology and related issues of climate, urbanization and sustainability in Part II. Here we will look at the rise of ecological thinking in the 1960s; approaches to the environment that were based on the systems-thinking approach of the era. In the session “Capitalism, Race and Population Growth” we examine the history of the “crisis” of scarcity from Thomas Robert Malthus, to Paul R. Ehrlich (The Population Bomb, 1968) to today and look at questions of environmental racism, violence and equity. The course concludes with Part III (Hybrid Natures). At this important juncture in the course, we will ask what is to be done today. We’ll examine the work of contemporary theorists, architects, landscape architects, policy makers and environmentalists who have channeled some of the lessons of the past in proposing lasting solutions to our land management and ecological crises of the present and future",https://bulletin.columbia.edu/columbia-college/departments-instruction/architecture/
N/A,AHIS UN2804 Mediterranean Artistic Interactions in the Middle Ages and the Early Modern Era. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"Transcultural studies are, today, part of any undergraduate curriculum in the field of humanities. In our contemporary mobile society, transculturality becomes a major phenomenon for understanding the driving power behind the creation of art, style, fashion and social behavior. The Medieval world was no less mobile, and the idea of the ‘Global’ has its roots in ancient times. In this course the medieval Mediterranean basin as space of interactions and the port/trade cities around it will serve as the exemplary arena, in which the constant interactions between Asia, Europe and Africa contributed to the mobility of aesthetic notions and novel ideas",https://bulletin.columbia.edu/columbia-college/departments-instruction/art-history-archaeology/
N/A,"ASTR S1403D Earth, Moon, and Planets. .",N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,"ASTR UN1404 STARS, GALAXIES ＆ COSMOLOGY. .",N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Distances to, and fundamental properties of, nearby stars; nucleosynthesis and stellar evolution; novae and supernovae; galaxies; the structure of the universe and theories concerning its origin, evolution, and ultimate fate. You can only receive credit for ASTR UN1404 if you have not taken ASTR BC1754, ASTR UN1420 or ASTR UN1836",https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,ASTR UN1453 ANOTHER EARTH. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"This course will explore the unique properties of Earth, compared to other planets in the Solar System, and the possibility of Earth-like planets around other stars. The basics of the Solar System, gravity, and light will be covered, as well as the geology and atmospheres of the terrestrial planets. The properties of Earth that allowed life to develop and whether life can develop on other planets will be discussed. Finally, the discovery of planets beyond our Solar System and the likelihood of another Earth will be a key component of the course",https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,ASTR UN1420 Galaxies and Cosmology. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,"ASTR BC1754 Stars, Galaxies, and Cosmology. .",N/A,N/A,N/A,N/A,N/A,3 points,N/A,"Prerequisites: Recommended preparation: A working knowledge of high school algebra.
Corequisites: Suggested parallel laboratory course: ASTR C 1904y.",https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,ASTR UN3101 MODERN STELLAR ASTROPHYSICS. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,Prerequisites: one year of calculus-based general physics.,https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,ASTR UN3102 Planetary Dynamics and Physics of the Solar System. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,ASTR UN3106 The Science of Space Exploration. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,"Prerequisites: one semester course in introductory astronomy or astrophysics (e.g., ASTR W1403, ASTR W1404, ASTR W1420, ASTR W1836, ASTR W2001, ASTR W2002, ASTR BC1753, and ASTR BC1754). Ability in mathematics up to and including calculus is strongly urged.",https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,ASTR UN3273 HIGH ENERGY ASTROPHYSICS. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Prerequisites: one year of calculus-based general physics. No previous,\nastronomy background required.",https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,ASTR UN3985 Statistics and the Universe (Seminar). .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,"ASTR GU4302 General Relativity, Black Holes, and Cosmology. .",N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,ASTR GU4303 ASTROSTATISTICS. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Astronomers live in era of “big data”. Whilst astronomers of a century ago collected a handful of photographic plates each night, modern astronomers collect thousands of images encoded by millions of pixels in the same time. Both the volume of data and the ever present desire to dig deeper into data sets has led to a growing interest in the use of statistical methods to interpret observations. This class will provide an introduction to the methods commonly used in understanding astronomical data sets, both in terms of theory and application. It is one six classes the department offers every fourth semester",https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,ASTR GR6001 RADIATIVE PROCESSES. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Prerequisites: 3000-level electromagnetic theory and quantum mechanics.
Prerequisites: 3000-level electromagnetic theory and quantum mechanics. Radiation mechanisms and interaction of radiation with matter. Applications of classical and semiclassical radiation theory and atomic physics to astrophysical settings. Radiative transfer, polarization, scattering, line radiation, special relativity, bremsstrahlung, synchrotron radiation, inverse compton scattering, ionization losses, shocks and particle acceleration, plasma processes, atomic structure and spectroscopic terms, radiative transitions and oscillator strengths, curve of growth, molecular spectra",https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,ASTR GR6003 GALAXIES. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,ASTR GR6005 PHYSICAL COSMOLOGY LEC. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/astronomy/
N/A,BIOL UN1002 Theory and Practice of Science: Biology. .,N/A,N/A,N/A,N/A,N/A,4 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN1130 GENES AND DEVELOPMENT. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Prerequisites: one year of high school or college biology.
Prerequisites: one year of high school or college biology. This course covers selected topics in genetics and developmental biology, with special emphasis on issues that are relevant to contemporary society. Lectures and readings will cover the basic principles of genetics, how genes are expressed and regulated, the role of genes in normal development, and how alterations in genes lead to abnormal development and disease. We will also examine how genes can be manipulated in the laboratory, and look at the contributions of these manipulations to basic science and medicine, as well as some practical applications of these technologies. Interspersed student-run workshops will allow students to research and discuss the ethical and societal impacts of specific topics (e.g. in vitro fertilization, uses and misuses of genetic information, genetically modified organisms, steroid use, and cloning). SCE and TC students may register for this course, but they must first obtain the written permission of the instructor, by filling out a paper Registration Adjustment Form (Add/Drop form). The form can be downloaded at the URL below, but must be signed by the instructor and returned to the office of the registrar. http://registrar.columbia.edu/sites/default/files/content/reg-adjustment.pdf",https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN1201 Engineered Mouse Models and Identifying Phenotypes In Vivo. .,N/A,N/A,N/A,N/A,N/A,1.50 point,N/A,"This undergraduate lecture course will introduce how transgenic and mutant mouse models are generated and their utility in defining the functional roles of genes in vivo. Classically, the function of a gene is tested in vivo by either overexpressing or inactivating its expression, leading to a gain-of-function or loss-of-function phenotype from which is inferred a gene’s normal role in homeostasis. Here we will explore the classic strategies for the generation of transgenic and knockout mice, comparing and contrasting their individual strengths and weaknesses, while exploring the phenotypes that have resulted from these changes in gene expression. Using a subset of primary papers, students will be introduced to research analysis to become more versed in the layers of experimental design needed to identify a gene’s function in vivo. The theoretical timing and the strategy needed to design such experiments with these transgenic and mutant mouse models, and the power of stem cell experiments will be discussed. In addition, to develop critical and additional analytical skills, students will become versed in basic tissue histology and immunohistochemistry, using processed paraffin-embedded mouse tissues from wild-type and engineered mutant mouse lines. Students will learn how to recognize numerous, normal adult tissues with light microscopy and to identify proliferative zones vs. fully differentiated layers within each. In addition, they will analyze the development of mid-to-late gestational embryos in serial sections, to underscore the coordinated transformation of tissues required for normal embryonic development. Finally, serial sections from well-defined mutant mouse models will used to identify and characterize abnormal phenotypes resulting from the knock-out of genes encoding cell cycle regulators or tumor suppressors. Live animal handling or experimentation is not a component of this course",https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN1360 Science and Society. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"This course, which has been given at another institution for the past five years, uses a seminar discussion format to examine the relationship between science and society from numerous perspectives, using examples from many fields of science, mostly biology and medicine, including the Covid-19 pandemic. We welcome undergraduates from all classes who are concentrating in any field of sciences, humanities, or the arts; there are no prerequisites, other than an interest in how the scientific enterprise works. The course addresses a wide array of topics: why do people choose a scientific career; why do governments and other funders support scientific work; how does science fail; why is there widespread skepticism about science; how is it represented in the arts; how are results disseminated, evaluated, and legally protected; and many other subjects. Assignments-- mainly short articles (from newspapers and journals) and book chapters, but also a few films and novels --will be provided for each class, and every student will undertake a term project of their own choosing, after consultations with the instructor",https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN1440 DNA Diversity and You. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"This seminar focuses on the biochemistry, biology, and sociology of DNA and its use and potential for misuse. Even before the discovery of the human genome, the DNA that is the lattice of each human being has been thought to be static and determinative. More recently, with advances in sequencing that DNA, the emerging picture is much more complex. Even so, deeply held beliefs about being solely “my DNA” have persisted affecting our entire species. Students in this seminar are expected to critically discuss and examine the ethical and societal impacts of several topics related to DNA (e.g., artificial reproductive techniques, eugenics, bodily autonomy, definitions and treatment of diseases, neuroscience, epigenetics and the microbiome), as well as the underlying biology and biochemistry of DNA. Human identity and its relationship to DNA is examined using an interdisciplinary framework of perspectives, including those originating from biology, genetics, medicine, public health, psychiatry, religion, and the law. Students are expected to draw from their own experiences as an individual in reflection through the readings to complete the written coursework and participate each week in class discussion. This seminar also allows for expression in other modalities (e.g., visual or aural), in a two-part final class project consisting of a media component in addition to a final written assignment",https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN2300 Interpreting Scientific Evidence. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"This class focuses on how we gather reliable scientific evidence about human biology and public health. The aim is to help students better interpret and evaluate the scientific evidence that they will encounter throughout their lifetime, in primary papers but also as presented in news, advertisement, and politics. To these ends, students will be introduced to basic definitions and concepts in statistics and epidemiology, including point estimates and measures of uncertainty, p-values, error rates, association and causation, different study designs, and selection bias. Readings will draw from a textbook as well as the primary literature. The second half of the course will turn to dissecting the representation and misrepresentation of scientific evidence presented in different venues. It will draw primarily from the textbook “Calling Bullshit” and include discussions of timely examples from the news",https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN2502 Foundations for Lab Biology. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Due to COVID-19 related restrictions on in-person laboratory work, this course acts as a replacement for BIOL UN2501. This course will act as a virtual introduction to the practice of contemporary biology, with an emphasis on common laboratory methods, online tools, statistical analysis, styles of scientific reasoning, and science communication. Students will be expected to watch a weekly lecture, either in-person or via recording. Lab activities are designed to be highly interactive and collaborative to reflect the realities of biological research. Small groups of students will work together on in-class activities, as well as on a long-term student-designed biological research project",https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN2700 Past and future of the human genome. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN3008 The Cellular Physiology of Disease. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN3014 Neurobiology I Recitation. .,N/A,N/A,N/A,N/A,N/A,0.00 points,N/A,Discussion/recitation section for BIOL UN3004 Neurobiology I,https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN3016 Neurobiology I Recitation. .,N/A,N/A,N/A,N/A,N/A,0.00 points,N/A,Discussion/recitation section for BIOL UN3004 Neurobiology I section 002,https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN3019 Brain Evolution. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"If an engineer were to build “the brain”, they would not be able to reproduce any of the brains that exist on Earth. Our brains were not designed to be perfect, but are a result of millions of years of evolution and adaptation. The goal of this course is to provide an overview of brain evolution, ranging from the evolution of the first neurons to the origin of the human brain. Specifically, the course will focus on recent insights emerging from studies of development, gene expression, and neural circuit architecture. The evolutionary perspective on commonly used terms, such as “neuron” and “brain”, and general principles of brain organization and function emerging from comparative studies will be discussed",https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN3034 Biotechnology. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,Prerequisites: genetics or molecular biology.,https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN3050 Project Laboratory In Protein Biochemistry. .,N/A,N/A,N/A,N/A,N/A,5 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN3073 CELLULAR/MOLECULAR IMMUNOLOGY. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Prerequisites: two semesters of a rigorous, molecularly-oriented introductory biology course (such as C2005 and C2006), or the instructor's permission.
Prerequisites: two semesters of a rigorous, molecularly-oriented introductory biology course (such as UN2005 and UN2006), or the instructors permission. This course will cover the basic concepts underlying the mechanisms of innate and adaptive immunity, as well as key experimental methods currently used in the field. To keep it real, the course will include clinical correlates in such areas as infectious diseases, autoimmune diseases, cancer immunotherapy and transplantation. Taking this course wont turn you into an immunologist, but it may make you want to become one, as was the case for several students last year. After taking the course, you should be able to read the literature intelligently in this rapidly advancing field. SCE and TC students may register for this course, but they must first obtain the written permission of the instructor, by filling out a paper Registration Adjustment Form (Add/Drop form). The form can be downloaded at the URL below, but must be signed by the instructor and returned to the office of the registrar. http://registrar.columbia.edu/sites/default/files/content/reg-adjustment.pdf",https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,"BIOL UN3190 STEM CELLS: BIOL,ETHICS,APPLIC. .",N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN3193 STEM CELL BIOL ＆ APPLICATIONS. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Prerequisites: three semesters of Biology or the instructors permission. The course examines current knowledge and potential medical applications of pluripotent stem cells (embryonic stem cells and induced pluripotent stem cells), direct conversions between cell types and adult, tissue-specific stem cells (concentrating mainly on hematopoietic and gut stem cells as leading paradigms). A basic lecture format will be supplemented by presentations and discussions of research papers. Recent reviews and research papers, together with extensive instructor notes, will be used in place of a textbook. SCE and TC students may register for this course, but they must first obtain the written permission of the instructor, by filling out a paper Registration Adjustment Form (Add/Drop form). The form can be downloaded at the URL below, but must be signed by the instructor and returned to the office of the registrar. http://registrar.columbia.edu/sites/default/files/content/reg-adjustment.pdf",https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN3208 Introduction to Evolutionary Biology. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN3310 Virology. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,"Prerequisites: two semesters of a rigorous, molecularly-oriented introductory biology course (such as C2005), or the instructor's permission.",https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN3387 BIOLOGY TEST. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN3560 EVOL IN THE AGE OF GENOMICS. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"Prerequisites: introductory genetics or the instructor's permission.
Prerequisites: Introductory Biology I and II, or the instructors permission. This course introduces basic concepts in evolutionary biology, from speciation to natural selection. While the lectures incorporate a historical perspective, the main goal of the class is to familiarize students with topics and tools of evolutionary genetics as practiced today, in the era of genomics. Thus, the focus will be on evidence from molecular evolution and genetics and exercises will assume a basic background in genetics. Examples will be drawn from across the tree of life, but with a primary focus on humans",https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
N/A,BIOL UN3700 INDEPENDENT CLINICAL RESEARCH. .,N/A,N/A,N/A,N/A,N/A,2.00-4.00 points,N/A,"Prerequisites: concurrent with registering for this course, a student must register with the department, provide a written invitation from a mentor, and submit a research proposal.
Prerequisites: concurrent with registering for this course, a student must register with the department, provide a written invitation from a mentor, and submit a research proposal. BIOL 3700 will provide an opportunity for students interested in independent research work in a hospital or hospice setting. In these settings, where patients and their needs are paramount, and where IRB rules and basic medical ethics make “wet-lab biology research” inappropriate, undergraduates may well find a way nevertheless, to assist and participate in ongoing clinical research. Such students, once they have identified a mentor willing to provide support, participation, and advising, may apply to the faculty member in charge of the course for 2-4 points/semester in BIOL W3700. This course will closely follow procedures already in place for BIOL 3500, but will ask potential mentors to provide evidence that students will gain hands-on experience in a clinical setting, while participating in a hospital- or hospice-based research agenda. A paper summarizing results of the work is required by the last day of finals for a letter grade; no late papers will be accepted",https://bulletin.columbia.edu/columbia-college/departments-instruction/biological-sciences/
